Match ID:770346, Blue: Joseph AS, Red: Yuyuko Kurogane (old)
Match ID:770286, Blue: Athena Asamiya KOF-E ⇒ Windows 2000 ⇒ SVC Ken, Red: Power-Pro-kun ⇒ Street Fighter Marisa ⇒ Rimul Aileron (old)
Match ID:770228, Blue: Haiji_A, Red: Experiment (old)
Match ID:770198, Blue: Half Moon Sion TATARI AACC (old), Red: Meiling_K
Match ID:770168, Blue: Bathory (old) ⇒ Quack ⇒ Ace 463 ⇒ Nero DMC4, Red: Puppetmon ⇒ Damian Shade ⇒ K-Sagat ⇒ Kurosawa Yuichi
Match ID:770142, Blue: Shiki Tohno EXP, Red: Bowser SSBB (old)
Match ID:770141, Blue: New Rubber Soul, Red: Bowser SSBB (old)
Match ID:770139, Blue: Bowser SSBB (old), Red: DemoN
Match ID:770134, Blue: Jagi_r, Red: Bowser SSBB (old)
Match ID:769939, Blue: Half Moon Sion TATARI AACC (old) ⇒ Keeper of NESTS ⇒ Priere-IF ⇒ Lightning-Adel, Red: Aihara Natsumi ⇒ Neopolitan BBTag ⇒ NecochaosblackG666mk2 ⇒ Necrosis
Match ID:769815, Blue: Bowser SSBB (old), Red: DC-Reimu
Match ID:769773, Blue: AMX-002 Neue Ziel (old), Red: FT-Kyo
Match ID:769527, Blue: Dance Master Duane, Red: Yuyuko Souki (old)
Match ID:769503, Blue: Bayonetta ⇒ Funny Assist ⇒ Funny Assist ⇒ Funny Assist, Red: Deluxe Lucia Fernandez (old) ⇒ Cool Spot ⇒ Vegeta Z2 ⇒ Yuri di AAAAA
Match ID:769059, Blue: Nanase BBTag (old), Red: Kosaku Kawajiri
Match ID:769020, Blue: Another Kung Fu Girl XIII ⇒ Asuna.exe ⇒ Bike Myson Sr. ⇒ Blazing Winnie, Red: Another Kung Fu Girl Z-KB ⇒ Barlog ⇒ Bowser SSBB (old) ⇒ Broli
Match ID:768999, Blue: Azusa (old), Red: Footee
Match ID:768798, Blue: Dominatrix, Red: El Fuerte (old)
Match ID:768770, Blue: Scorpion ⇒ SS6 Senna ⇒ Gen 0D ⇒ Yuri Sakazaki XIII (old), Red: CM Punk ⇒ Ike SD ⇒ Wario 64 ⇒ Maple Hero
Match ID:768597, Blue: Vectorman (old), Red: Tuyoshi
Match ID:768594, Blue: Nao Shiki Youmu, Red: Half Moon Sion TATARI AACC (old)
Match ID:768434, Blue: Sub-Zero UMK3 / Gustavo, Red: Kona-chan (old) / Funassyi
